xoff,yoff
-0.155172,0.500000
-0.120690,-0.500000
-0.120690,-0.465517
-0.120690,-0.431034
-0.120690,-0.396552
-0.120690,-0.362069
-0.120690,-0.327586
-0.120690,-0.293103
-0.120690,0.293103
-0.120690,0.327586
-0.120690,0.362069
-0.120690,0.396552
-0.120690,0.431034
-0.120690,0.465517
-0.120690,0.500000
-0.086207,-0.500000
-0.086207,-0.465517
-0.086207,-0.431034
-0.086207,-0.396552
-0.086207,-0.362069
-0.086207,-0.327586
-0.086207,-0.293103
-0.086207,0.293103
-0.086207,0.327586
-0.086207,0.362069
-0.086207,0.396552
-0.086207,0.431034
-0.086207,0.465517
-0.086207,0.500000
-0.051724,-0.500000
-0.051724,-0.465517
-0.051724,-0.431034
-0.051724,-0.396552
-0.051724,-0.362069
-0.051724,-0.327586
-0.051724,-0.293103
-0.051724,0.293103
-0.051724,0.327586
-0.051724,0.362069
-0.051724,0.396552
-0.051724,0.431034
-0.051724,0.465517
-0.051724,0.500000
-0.017241,-0.500000
-0.017241,-0.465517
-0.017241,-0.431034
-0.017241,-0.396552
-0.017241,-0.362069
-0.017241,-0.327586
-0.017241,-0.293103
-0.017241,0.293103
-0.017241,0.327586
-0.017241,0.362069
-0.017241,0.396552
-0.017241,0.431034
-0.017241,0.465517
-0.017241,0.500000
0.017241,-0.500000
0.017241,-0.465517
0.017241,-0.431034
0.017241,-0.396552
0.017241,-0.362069
0.017241,-0.327586
0.017241,-0.293103
0.017241,0.293103
0.017241,0.327586
0.017241,0.362069
0.017241,0.396552
0.017241,0.431034
0.017241,0.465517
0.017241,0.500000
0.051724,-0.500000
0.051724,-0.465517
0.051724,-0.431034
0.051724,-0.396552
0.051724,-0.362069
0.051724,-0.327586
0.051724,-0.293103
0.051724,0.293103
0.051724,0.327586
0.051724,0.362069
0.051724,0.396552
0.051724,0.431034
0.051724,0.465517
0.051724,0.500000
0.086207,-0.500000
0.086207,-0.465517
0.086207,-0.431034
0.086207,-0.396552
0.086207,-0.362069
0.086207,-0.327586
0.086207,-0.293103
0.086207,0.293103
0.086207,0.327586
0.086207,0.362069
0.086207,0.396552
0.086207,0.431034
0.086207,0.465517
0.086207,0.500000
0.120690,-0.500000
0.120690,-0.465517
0.120690,-0.431034
0.120690,-0.396552
0.120690,-0.362069
0.120690,-0.327586
0.120690,-0.293103
0.120690,0.293103
0.120690,0.327586
0.120690,0.362069
0.120690,0.396552
0.120690,0.431034
0.120690,0.465517
0.120690,0.500000
0.155172,-0.500000
0.155172,-0.465517
0.155172,-0.431034
0.155172,-0.396552
0.155172,-0.362069
0.155172,-0.327586
0.155172,-0.293103
0.155172,0.293103
0.155172,0.327586
0.155172,0.362069
0.155172,0.396552
0.155172,0.431034
0.155172,0.465517
0.155172,0.500000
0.189655,-0.500000
0.189655,-0.465517
0.189655,-0.431034
0.189655,-0.396552
0.189655,-0.362069
0.189655,-0.327586
0.189655,-0.293103
0.189655,-0.258621
0.189655,0.258621
0.189655,0.293103
0.189655,0.327586
0.189655,0.362069
0.189655,0.396552
0.189655,0.431034
0.189655,0.465517
0.189655,0.500000
0.224138,-0.500000
0.224138,-0.465517
0.224138,-0.431034
0.224138,-0.396552
0.224138,-0.362069
0.224138,-0.327586
0.224138,-0.293103
0.224138,-0.258621
0.224138,-0.224138
0.224138,-0.189655
0.224138,0.189655
0.224138,0.224138
0.224138,0.258621
0.224138,0.293103
0.224138,0.327586
0.224138,0.362069
0.224138,0.396552
0.224138,0.431034
0.224138,0.465517
0.224138,0.500000
0.258621,-0.500000
0.258621,-0.465517
0.258621,-0.431034
0.258621,-0.396552
0.258621,-0.362069
0.258621,-0.327586
0.258621,-0.293103
0.258621,-0.258621
0.258621,-0.224138
0.258621,-0.189655
0.258621,-0.155172
0.258621,0.155172
0.258621,0.189655
0.258621,0.224138
0.258621,0.258621
0.258621,0.293103
0.258621,0.327586
0.258621,0.362069
0.258621,0.396552
0.258621,0.431034
0.258621,0.465517
0.258621,0.500000
0.293103,-0.500000
0.293103,-0.465517
0.293103,-0.431034
0.293103,-0.396552
0.293103,-0.362069
0.293103,-0.327586
0.293103,-0.293103
0.293103,-0.258621
0.293103,-0.224138
0.293103,-0.189655
0.293103,-0.155172
0.293103,-0.120690
0.293103,-0.086207
0.293103,0.086207
0.293103,0.120690
0.293103,0.155172
0.293103,0.189655
0.293103,0.224138
0.293103,0.258621
0.293103,0.293103
0.293103,0.327586
0.293103,0.362069
0.293103,0.396552
0.293103,0.431034
0.293103,0.465517
0.293103,0.500000
0.327586,-0.500000
0.327586,-0.465517
0.327586,-0.431034
0.327586,-0.396552
0.327586,-0.362069
0.327586,-0.327586
0.327586,-0.293103
0.327586,-0.258621
0.327586,-0.224138
0.327586,-0.189655
0.327586,-0.155172
0.327586,-0.120690
0.327586,-0.086207
0.327586,-0.051724
0.327586,-0.017241
0.327586,0.017241
0.327586,0.051724
0.327586,0.086207
0.327586,0.120690
0.327586,0.155172
0.327586,0.189655
0.327586,0.224138
0.327586,0.258621
0.327586,0.293103
0.327586,0.327586
0.327586,0.362069
0.327586,0.396552
0.327586,0.431034
0.327586,0.465517
0.327586,0.500000
0.362069,-0.500000
0.362069,-0.465517
0.362069,-0.431034
0.362069,-0.396552
0.362069,-0.362069
0.362069,-0.327586
0.362069,-0.293103
0.362069,-0.258621
0.362069,-0.224138
0.362069,-0.189655
0.362069,-0.155172
0.362069,-0.120690
0.362069,-0.086207
0.362069,-0.051724
0.362069,-0.017241
0.362069,0.017241
0.362069,0.051724
0.362069,0.086207
0.362069,0.120690
0.362069,0.155172
0.362069,0.189655
0.362069,0.224138
0.362069,0.258621
0.362069,0.293103
0.362069,0.327586
0.362069,0.362069
0.362069,0.396552
0.362069,0.431034
0.362069,0.465517
0.362069,0.500000
0.396552,-0.500000
0.396552,-0.465517
0.396552,-0.431034
0.396552,-0.396552
0.396552,-0.362069
0.396552,-0.327586
0.396552,-0.293103
0.396552,-0.258621
0.396552,-0.224138
0.396552,-0.189655
0.396552,-0.155172
0.396552,-0.120690
0.396552,-0.086207
0.396552,-0.051724
0.396552,-0.017241
0.396552,0.017241
0.396552,0.051724
0.396552,0.086207
0.396552,0.120690
0.396552,0.155172
0.396552,0.189655
0.396552,0.224138
0.396552,0.258621
0.396552,0.293103
0.396552,0.327586
0.396552,0.362069
0.396552,0.396552
0.396552,0.431034
0.396552,0.465517
0.396552,0.500000
0.431034,-0.500000
0.431034,-0.465517
0.431034,-0.431034
0.431034,-0.396552
0.431034,-0.362069
0.431034,-0.327586
0.431034,-0.293103
0.431034,-0.258621
0.431034,-0.224138
0.431034,-0.189655
0.431034,-0.155172
0.431034,-0.120690
0.431034,-0.086207
0.431034,-0.051724
0.431034,-0.017241
0.431034,0.017241
0.431034,0.051724
0.431034,0.086207
0.431034,0.120690
0.431034,0.155172
0.431034,0.189655
0.431034,0.224138
0.431034,0.258621
0.431034,0.293103
0.431034,0.327586
0.431034,0.362069
0.431034,0.396552
0.431034,0.431034
0.431034,0.465517
0.431034,0.500000
0.465517,-0.500000
0.465517,-0.465517
0.465517,-0.431034
0.465517,-0.396552
0.465517,-0.362069
0.465517,-0.327586
0.465517,-0.293103
0.465517,-0.258621
0.465517,-0.224138
0.465517,-0.189655
0.465517,-0.155172
0.465517,-0.120690
0.465517,-0.086207
0.465517,-0.051724
0.465517,-0.017241
0.465517,0.017241
0.465517,0.051724
0.465517,0.086207
0.465517,0.120690
0.465517,0.155172
0.465517,0.189655
0.465517,0.224138
0.465517,0.258621
0.465517,0.293103
0.465517,0.327586
0.465517,0.362069
0.465517,0.396552
0.465517,0.431034
0.465517,0.465517
0.465517,0.500000
0.500000,-0.500000
0.500000,-0.465517
0.500000,-0.431034
0.500000,-0.396552
0.500000,-0.362069
0.500000,-0.327586
0.500000,-0.293103
0.500000,-0.258621
0.500000,-0.224138
0.500000,-0.189655
0.500000,-0.155172
0.500000,-0.120690
0.500000,-0.086207
0.500000,-0.051724
0.500000,-0.017241
0.500000,0.017241
0.500000,0.051724
0.500000,0.086207
0.500000,0.120690
0.500000,0.155172
0.500000,0.189655
0.500000,0.224138
0.500000,0.258621
0.500000,0.293103
0.500000,0.327586
0.500000,0.362069
0.500000,0.396552
0.500000,0.431034
0.500000,0.465517
0.500000,0.500000
